V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12
1;13;0,995;0,491;36,547;0,194;0,93;0,104;-18,564;0,0371;113,293;0,323
1;40;0,984;0,251;463;0,025;0,953;0,0938;-30,016;0,0624;118,704;0,336
1;43;0,996;0,538;141,787;0,00652;0,912;0,104;-37,533;0,0786;81,837;0,405
1;47;0,991;0,333;189;0,00256;0,935;0,0544;-40,295;0,0486;117,191;0,253
1;50;0,874;0,364;150,667;0,571;0,867;0,121;-15,596;0,0553;67,692;0,128
1;48;0,993;0,341;357,747;0,0142;0,921;0,113;-28,293;0,116;135,596;0,124
1;51;0,957;0,429;112,353;0,258;0,893;0,115;-16,967;0,0323;75,944;0,342
1;44;0,995;0,442;215,227;0,017;0,893;0,061;-24,902;0,0429;67,619;0,28
1;40;0,994;0,314;88,573;0,209;0,902;0,0873;-26,784;0,0438;79,556;0,0339
1;36;0,937;0,0874;198,32;0,0169;0,773;0,108;-32,245;0,0417;143,98;0,0847
1;44;0,952;0,492;128,827;0,0126;0,294;0,0744;-22,416;0,0373;131,598;0,158
1;36;0,978;0,204;45,933;0,015;0,929;0,142;-44,727;0,0467;84,38;0,0394
2;40;0,93;0,615;210,96;0,364;0,818;0,125;-14,683;0,0636;127,338;0,149
2;38;0,971;0,36;188,147;0,0775;0,906;0,146;-25,674;0,0371;120,741;0,569
2;38;0,954;0,458;245,947;0,197;0,755;0,113;-21,578;0,0451;70,708;0,114
2;46;0,983;0,0829;254,253;0,0107;0,106;0,0607;-39,295;0,0447;89,567;0,0481
2;41;0,995;0,333;329,044;0,00325;0,917;0,0897;-37,682;0,0357;91,76;0,104
2;2;0,98;0,226;368,72;0,255;0,507;0,323;-15,72;0,0584;76,987;0,0395
2;2;0,962;0,207;363,907;0,106;0,138;0,127;-18,548;0,0545;84,047;0,0621
2;4;0,981;0,215;112,827;0,0581;0,344;0,288;-28,751;0,0457;107,318;0,848
2;38;0,992;0,389;73,333;0,0142;0,926;0,0873;-32,378;0,0336;81,402;0,0991
2;40;0,99;0,105;205,24;0,0334;0,926;0,0933;-28,089;0,049;66,086;0,258
2;41;0,993;0,233;172,431;0,0242;0,846;0,133;-28,831;0,0421;170,573;0,0342
2;38;0,967;0,395;167,027;0,246;7,77E-06;0,505;-16,601;0,0459;108,011;0,057
